Gridded monthly values for the period 1.1967 - 10.2014

UTM coordinates: 282365 E, 6678855 N

Elevation of grid point: 198 meters above sea level

Real elevation: NA meters above sea level

Elements:	Mean temperature in *C (TAM)
		Accumulated precipitation in mm (RR)


Year	Month	TAM	RR 
1967	1	-10.8	62 
1967	2	-6	76 
1967	3	0.2	67 
1967	4	2.5	44 
1967	5	7.1	110 
1967	6	13.3	66 
1967	7	14.6	61 
1967	8	14.1	80 
1967	9	9.6	92 
1967	10	4.9	203 
1967	11	1.5	130 
1967	12	-6.3	101 
1968	1	-11.1	71 
1968	2	-9.7	77 
1968	3	-2.2	43 
1968	4	3.4	22 
1968	5	7.1	72 
1968	6	14.8	103 
1968	7	14.2	80 
1968	8	14.4	22 
1968	9	9.8	87 
1968	10	2.8	135 
1968	11	-5.6	77 
1968	12	-6.5	35 
1969	1	-5.9	153 
1969	2	-11.4	29 
1969	3	-8.1	9 
1969	4	2.2	81 
1969	5	8.4	58 
1969	6	15.8	27 
1969	7	15.5	92 
1969	8	16.3	54 
1969	9	9.5	104 
1969	10	5.1	48 
1969	11	-5.1	89 
1969	12	-7.4	40 
1970	1	-11.9	40 
1970	2	-15.5	30 
1970	3	-4.5	47 
1970	4	-0.2	80 
1970	5	9.3	18 
1970	6	16.7	67 
1970	7	12.9	161 
1970	8	14.2	69 
1970	9	7.9	103 
1970	10	4.2	93 
1970	11	-3.5	207 
1970	12	-4.1	25 
1971	1	-5.2	70 
1971	2	-3.3	70 
1971	3	-5.5	81 
1971	4	2.1	33 
1971	5	9.2	78 
1971	6	12.5	70 
1971	7	15.2	115 
1971	8	13	38 
1971	9	8.3	66 
1971	10	3.9	43 
1971	11	-3.7	82 
1971	12	-2.1	39 
1972	1	-9.5	34 
1972	2	-6.4	51 
1972	3	-2.8	64 
1972	4	2.4	70 
1972	5	9.1	93 
1972	6	12.8	127 
1972	7	16.6	59 
1972	8	13	141 
1972	9	7.3	35 
1972	10	3.8	22 
1972	11	-1.2	19 
1972	12	-0.6	91 
1973	1	-2.1	41 
1973	2	-3.9	69 
1973	3	0.2	10 
1973	4	1.6	50 
1973	5	8.6	80 
1973	6	14.3	51 
1973	7	16.8	114 
1973	8	13	61 
1973	9	7.6	92 
1973	10	0.2	16 
1973	11	-3.5	46 
1973	12	-6	84 
1974	1	-2.4	95 
1974	2	-2	61 
1974	3	-2.3	41 
1974	4	4.8	0 
1974	5	9.6	29 
1974	6	13.2	64 
1974	7	13.7	89 
1974	8	13.1	90 
1974	9	9.4	199 
1974	10	2.8	98 
1974	11	-1	133 
1974	12	-3.1	52 
1975	1	-2.1	146 
1975	2	-8.1	20 
1975	3	-2.6	39 
1975	4	1.3	19 
1975	5	9.5	37 
1975	6	12.7	25 
1975	7	16.8	50 
1975	8	16.6	63 
1975	9	9.7	132 
1975	10	4.5	89 
1975	11	0.5	104 
1975	12	-1.9	30 
1976	1	-8.1	32 
1976	2	-6.2	52 
1976	3	-4.9	6 
1976	4	2.8	20 
1976	5	9.6	46 
1976	6	14.1	27 
1976	7	16.6	24 
1976	8	15.6	25 
1976	9	6.9	63 
1976	10	2.8	206 
1976	11	-1.5	122 
1976	12	-7.8	59 
1977	1	-7.2	88 
1977	2	-10.5	34 
1977	3	-1.8	57 
1977	4	-0.1	88 
1977	5	8.9	45 
1977	6	13.6	115 
1977	7	14.3	59 
1977	8	13.3	58 
1977	9	7.3	68 
1977	10	4.9	82 
1977	11	-0.7	99 
1977	12	-4.6	67 
1978	1	-5.4	76 
1978	2	-11.4	52 
1978	3	-4.3	126 
1978	4	1.3	28 
1978	5	9.2	15 
1978	6	14.6	37 
1978	7	13.3	135 
1978	8	13.2	90 
1978	9	6.6	78 
1978	10	3.7	27 
1978	11	1.8	32 
1978	12	-10.8	48 
1979	1	-12.1	17 
1979	2	-11.4	21 
1979	3	-3	95 
1979	4	1.8	104 
1979	5	6.7	81 
1979	6	14.8	44 
1979	7	13.6	100 
1979	8	12.2	96 
1979	9	8.3	50 
1979	10	2.3	79 
1979	11	-2.7	119 
1979	12	-6.5	63 
1980	1	-10.3	35 
1980	2	-12.8	31 
1980	3	-5.7	43 
1980	4	2.5	9 
1980	5	9.8	89 
1980	6	13.9	120 
1980	7	15.7	65 
1980	8	13.5	74 
1980	9	9	83 
1980	10	2.3	152 
1980	11	-5.2	50 
1980	12	-4.1	64 
1981	1	-7.1	22 
1981	2	-7.7	25 
1981	3	-5.5	85 
1981	4	2.5	6 
1981	5	10.1	57 
1981	6	12.3	86 
1981	7	14.7	85 
1981	8	13.6	8 
1981	9	10.3	68 
1981	10	3.7	106 
1981	11	-1.9	133 
1981	12	-12.1	46 
1982	1	-11.2	30 
1982	2	-7.1	37 
1982	3	-0.4	110 
1982	4	3.2	31 
1982	5	7.9	82 
1982	6	12.8	31 
1982	7	16.5	37 
1982	8	14.9	83 
1982	9	9.9	125 
1982	10	4.4	101 
1982	11	0.6	151 
1982	12	-4.3	100 
1983	1	-2	42 
1983	2	-8.4	14 
1983	3	-1	42 
1983	4	3.1	65 
1983	5	9	120 
1983	6	13	40 
1983	7	16.3	44 
1983	8	14.9	29 
1983	9	9.8	201 
1983	10	4.9	109 
1983	11	-0.1	16 
1983	12	-3.5	57 
1984	1	-8.1	67 
1984	2	-5	34 
1984	3	-4.1	37 
1984	4	3.6	31 
1984	5	11	50 
1984	6	13.6	105 
1984	7	14.8	71 
1984	8	14.8	46 
1984	9	8.4	104 
1984	10	5.7	172 
1984	11	1.2	80 
1984	12	-0.9	81 
1985	1	-11.2	65 
1985	2	-13.4	43 
1985	3	-2.6	98 
1985	4	0.6	84 
1985	5	9.6	32 
1985	6	13.6	119 
1985	7	14.8	128 
1985	8	13.1	202 
1985	9	7	112 
1985	10	5.5	46 
1985	11	-3	60 
1985	12	-9.7	79 
1986	1	-11.1	86 
1986	2	-12.4	4 
1986	3	-1.3	68 
1986	4	0.9	42 
1986	5	9.6	57 
1986	6	15.4	33 
1986	7	16	47 
1986	8	11.6	148 
1986	9	6.4	28 
1986	10	4.4	95 
1986	11	2.3	84 
1986	12	-3.2	117 
1987	1	-14.8	23 
1987	2	-8.1	40 
1987	3	-8	99 
1987	4	3.3	28 
1987	5	8.1	53 
1987	6	10.9	180 
1987	7	15.6	50 
1987	8	11.8	94 
1987	9	7.7	137 
1987	10	5.9	217 
