Gridded monthly values for the period 1.1967 - 10.2014

UTM coordinates: -35735 E, 6571781 N

Elevation of grid point: 20 meters above sea level

Real elevation: NA meters above sea level

Elements:	Mean temperature in *C (TAM)
		Accumulated precipitation in mm (RR)


Year	Month	TAM	RR 
1967	1	0.4	85 
1967	2	2.1	98 
1967	3	3.5	221 
1967	4	4.3	123 
1967	5	8.4	131 
1967	6	11.2	118 
1967	7	14	92 
1967	8	13.8	266 
1967	9	12	158 
1967	10	8.2	301 
1967	11	6.1	195 
1967	12	1.7	221 
1968	1	-0.5	132 
1968	2	-0.3	67 
1968	3	2.8	163 
1968	4	5.5	64 
1968	5	8.1	54 
1968	6	13.5	94 
1968	7	13.9	38 
1968	8	13.7	6 
1968	9	13.2	205 
1968	10	8	211 
1968	11	2.8	86 
1968	12	0.8	73 
1969	1	2.1	132 
1969	2	-4.1	102 
1969	3	-1	68 
1969	4	5.2	55 
1969	5	9.1	46 
1969	6	13.5	56 
1969	7	13.9	158 
1969	8	17.3	51 
1969	9	11.6	242 
1969	10	8.8	125 
1969	11	2.7	229 
1969	12	0.1	53 
1970	1	-1	59 
1970	2	-3.4	47 
1970	3	0	151 
1970	4	3.1	66 
1970	5	9.7	57 
1970	6	14.1	97 
1970	7	12.9	270 
1970	8	14.9	62 
1970	9	10.8	212 
1970	10	7.9	227 
1970	11	4.3	210 
1970	12	2.5	96 
1971	1	2.4	79 
1971	2	2.7	98 
1971	3	0.7	84 
1971	4	5.1	64 
1971	5	9.7	118 
1971	6	12	66 
1971	7	13.5	102 
1971	8	14.2	113 
1971	9	11	124 
1971	10	7.6	188 
1971	11	3.5	267 
1971	12	4.9	157 
1972	1	-0.9	53 
1972	2	0.6	35 
1972	3	2.7	57 
1972	4	5.1	108 
1972	5	10.5	67 
1972	6	11.6	186 
1972	7	14.4	125 
1972	8	12.9	168 
1972	9	9.4	104 
1972	10	7.5	85 
1972	11	4.4	221 
1972	12	5.1	167 
1973	1	3.1	66 
1973	2	1.3	151 
1973	3	4.1	90 
1973	4	4	87 
1973	5	8.7	123 
1973	6	12.2	80 
1973	7	15.5	49 
1973	8	12.9	96 
1973	9	10.9	129 
1973	10	5.5	114 
1973	11	3.2	234 
1973	12	1.7	170 
1974	1	4	109 
1974	2	3.6	96 
1974	3	3	24 
1974	4	6	4 
1974	5	10.3	49 
1974	6	13.2	76 
1974	7	12.5	175 
1974	8	13.5	87 
1974	9	11.8	352 
1974	10	6.6	64 
1974	11	4.4	142 
1974	12	4.3	208 
1975	1	4.2	294 
1975	2	1.9	36 
1975	3	2.1	41 
1975	4	4.1	48 
1975	5	9.2	64 
1975	6	11.5	61 
1975	7	14	89 
1975	8	16.8	81 
1975	9	11.4	305 
1975	10	7.9	107 
1975	11	5.2	153 
1975	12	4.3	175 
1976	1	0.4	152 
1976	2	0.6	69 
1976	3	-0.8	48 
1976	4	4.4	86 
1976	5	9.8	96 
1976	6	12.9	69 
1976	7	15.5	87 
1976	8	14.1	14 
1976	9	9.7	69 
1976	10	8.1	155 
1976	11	4.5	135 
1976	12	-1	50 
1977	1	-0.3	82 
1977	2	-0.8	63 
1977	3	3.3	102 
1977	4	3	75 
1977	5	9.1	36 
1977	6	10.8	64 
1977	7	12.5	82 
1977	8	13.5	89 
1977	9	10	221 
1977	10	9.2	156 
1977	11	3.4	250 
1977	12	3.3	129 
1978	1	1.7	105 
1978	2	-2.3	48 
1978	3	1.8	106 
1978	4	4.1	55 
1978	5	10	85 
1978	6	13.5	73 
1978	7	13.3	162 
1978	8	14.6	131 
1978	9	10	181 
1978	10	8.5	178 
1978	11	6	198 
1978	12	-0.5	13 
1979	1	-3.5	49 
1979	2	-3.2	78 
1979	3	1.5	138 
1979	4	4.8	44 
1979	5	6.9	102 
1979	6	12.3	145 
1979	7	11.8	71 
1979	8	13.1	224 
1979	9	10.6	210 
1979	10	7.9	91 
1979	11	4	206 
1979	12	1.7	135 
1980	1	-0.9	18 
1980	2	-1.2	60 
1980	3	0.6	31 
1980	4	5.2	36 
1980	5	9.4	14 
1980	6	13.5	136 
1980	7	15.1	59 
1980	8	14.4	136 
1980	9	12.3	177 
1980	10	6.3	257 
1980	11	3	109 
1980	12	2.8	221 
1981	1	0	181 
1981	2	0.1	108 
1981	3	1.3	126 
1981	4	3.9	27 
1981	5	11.2	90 
1981	6	11.2	106 
1981	7	13.5	174 
1981	8	13.1	94 
1981	9	12.8	154 
1981	10	7.3	281 
1981	11	5	296 
1981	12	-3.6	75 
1982	1	-0.9	99 
