Gridded monthly values for the period 1.1967 - 10.2014

UTM coordinates: 169240 E, 6597809 N

Elevation of grid point: 56 meters above sea level

Real elevation: NA meters above sea level

Elements:	Mean temperature in *C (TAM)
		Accumulated precipitation in mm (RR)


Year	Month	TAM	RR 
1967	1	-11.7	47 
1967	2	-6	71 
1967	3	1.4	67 
1967	4	3.5	47 
1967	5	8	106 
1967	6	13.4	59 
1967	7	14.8	28 
1967	8	14.3	79 
1967	9	9.8	122 
1967	10	5.3	171 
1967	11	2.2	177 
1967	12	-5.7	79 
1968	1	-11.2	59 
1968	2	-9.7	32 
1968	3	-1.4	30 
1968	4	4.3	21 
1968	5	8.3	66 
1968	6	14.8	111 
1968	7	14.6	59 
1968	8	14.4	37 
1968	9	10.7	272 
1968	10	3.6	144 
1968	11	-3	49 
1968	12	-6	13 
1969	1	-3.9	110 
1969	2	-9.7	26 
1969	3	-7.9	3 
1969	4	3.2	81 
1969	5	8.9	51 
1969	6	15.6	60 
1969	7	16	75 
1969	8	15.5	82 
1969	9	10.1	62 
1969	10	5.9	33 
1969	11	-3.6	62 
1969	12	-6.8	58 
1970	1	-9.8	37 
1970	2	-15.1	35 
1970	3	-3.9	22 
1970	4	1.1	42 
1970	5	10	7 
1970	6	16.6	50 
1970	7	13.6	142 
1970	8	14.4	82 
1970	9	8.3	90 
1970	10	4.1	105 
1970	11	-2.4	189 
1970	12	-3.7	14 
1971	1	-4.9	52 
1971	2	-1.6	69 
1971	3	-3	51 
1971	4	3.6	15 
1971	5	9.5	50 
1971	6	13.3	39 
1971	7	15.8	80 
1971	8	13.3	100 
1971	9	9.4	32 
1971	10	4.2	55 
1971	11	-2.6	61 
1971	12	-1.3	48 
1972	1	-7.5	27 
1972	2	-4.6	32 
1972	3	-1.6	94 
1972	4	3.5	79 
1972	5	9.7	52 
1972	6	12.8	80 
1972	7	16.7	94 
1972	8	13.2	141 
1972	9	7.6	61 
1972	10	4.3	18 
1972	11	-1.2	4 
1972	12	-0.5	77 
1973	1	-2.2	35 
1973	2	-2.5	27 
1973	3	1.2	14 
1973	4	3.1	22 
1973	5	9.1	102 
1973	6	14.2	36 
1973	7	17	113 
1973	8	13.2	53 
1973	9	8.7	87 
1973	10	0.6	6 
1973	11	-3.4	53 
1973	12	-5.5	57 
1974	1	-1.7	116 
1974	2	-1.5	45 
1974	3	-0.9	39 
1974	4	5.1	0 
1974	5	9.6	29 
1974	6	13.6	42 
1974	7	14	98 
1974	8	13.9	34 
1974	9	9.9	195 
1974	10	4.6	65 
1974	11	0.7	104 
1974	12	-3.5	46 
1975	1	-1	126 
1975	2	-6.6	22 
1975	3	-1.3	44 
1975	4	2.7	21 
1975	5	9.6	39 
1975	6	13.6	20 
1975	7	17.1	37 
1975	8	17	63 
1975	9	10	88 
1975	10	5.2	66 
1975	11	1.1	84 
1975	12	-0.2	34 
1976	1	-7.5	26 
1976	2	-5.2	38 
1976	3	-2.8	9 
1976	4	4.3	19 
1976	5	9.6	55 
1976	6	14.8	27 
1976	7	16.9	49 
1976	8	15.4	5 
1976	9	7.8	60 
1976	10	4.3	176 
1976	11	-0.2	90 
1976	12	-5.4	46 
1977	1	-5.7	41 
1977	2	-8.6	34 
1977	3	-0.7	51 
1977	4	1.9	78 
1977	5	10.2	30 
1977	6	14.4	90 
1977	7	15.5	69 
1977	8	14.1	64 
1977	9	7.8	81 
1977	10	5.7	77 
1977	11	0.4	125 
1977	12	-4.1	66 
1978	1	-4.9	60 
1978	2	-8.6	46 
1978	3	-2.6	84 
1978	4	2.3	21 
1978	5	9.9	26 
1978	6	15	89 
1978	7	14.1	160 
1978	8	14	78 
1978	9	7.8	82 
1978	10	4.6	37 
1978	11	2.8	56 
1978	12	-8.8	15 
1979	1	-11.8	15 
1979	2	-10.4	6 
1979	3	-1	100 
1979	4	3.3	33 
1979	5	7.4	98 
1979	6	14.8	77 
1979	7	14.7	89 
1979	8	12.7	183 
1979	9	8.6	34 
1979	10	3.3	68 
1979	11	-2.1	87 
1979	12	-4.3	49 
1980	1	-10	17 
1980	2	-11.2	30 
1980	3	-3.4	22 
1980	4	4.4	5 
1980	5	10.8	67 
1980	6	14.9	104 
1980	7	15.6	73 
1980	8	14.3	69 
1980	9	10	83 
1980	10	3.6	111 
1980	11	-3.7	26 
1980	12	-3.6	35 
1981	1	-7.2	11 
1981	2	-5.4	6 
1981	3	-3.1	56 
1981	4	3.5	3 
1981	5	10.5	91 
1981	6	12.7	107 
1981	7	15.1	101 
1981	8	13.8	24 
1981	9	11.1	128 
1981	10	3.8	112 
1981	11	-0.5	85 
1981	12	-11.6	15 
1982	1	-10.4	24 
1982	2	-6.1	35 
1982	3	0.5	113 
1982	4	4.5	22 
1982	5	8.9	117 
1982	6	13.6	40 
1982	7	16.4	84 
1982	8	14	91 
1982	9	10	117 
1982	10	5.6	90 
1982	11	0.6	117 
1982	12	-4.6	77 
1983	1	-0.7	29 
1983	2	-7.6	12 
1983	3	0.9	53 
1983	4	4.5	54 
1983	5	9	190 
1983	6	13.7	41 
1983	7	16.9	41 
1983	8	15.2	19 
1983	9	10.3	155 
1983	10	5.7	103 
1983	11	-0.2	15 
1983	12	-3.3	24 
1984	1	-6.5	67 
1984	2	-6	37 
1984	3	-2.9	13 
1984	4	4.6	22 
1984	5	10.8	135 
1984	6	14.5	55 
1984	7	16.1	54 
1984	8	15.4	132 
1984	9	8.9	102 
1984	10	6.1	187 
1984	11	2.7	97 
1984	12	-0.1	83 
1985	1	-11.3	45 
1985	2	-11.6	25 
1985	3	-1.1	63 
1985	4	2.2	67 
1985	5	10.6	28 
1985	6	13.6	68 
1985	7	15.2	121 
1985	8	13.6	196 
1985	9	7.2	95 
1985	10	5.2	34 
1985	11	-2.3	41 
1985	12	-8.7	65 
1986	1	-11.4	64 
1986	2	-11.8	1 
1986	3	-0.6	55 
1986	4	2.1	24 
1986	5	9.7	83 
1986	6	15.3	45 
1986	7	15.8	41 
1986	8	12.1	183 
1986	9	6.6	15 
1986	10	5	100 
1986	11	2.5	103 
1986	12	-2.4	117 
1987	1	-14.1	18 
1987	2	-7.4	21 
1987	3	-6.1	70 
1987	4	4	30 
1987	5	8.9	40 
1987	6	11.6	130 
1987	7	15.7	62 
1987	8	12.3	124 
1987	9	7.6	104 
1987	10	6.5	263 
1987	11	0.4	97 
1987	12	-5.1	23 
1988	1	0	141 
1988	2	-1.8	120 
1988	3	-2.6	90 
1988	4	2.6	39 
1988	5	10.8	42 
1988	6	17.4	40 
1988	7	15.5	268 
1988	8	14.2	166 
1988	9	11.1	150 
1988	10	3.6	127 
1988	11	-2.2	26 
1988	12	-5.7	19 
1989	1	0.9	6 
1989	2	1.4	68 
1989	3	2	61 
1989	4	4.6	80 
1989	5	9.9	23 
1989	6	14.1	39 
1989	7	17	19 
1989	8	13.8	92 
1989	9	10.3	23 
1989	10	5.8	66 
1989	11	2.4	80 
1989	12	-3.3	30 
1990	1	1.5	89 
1990	2	4	98 
1990	3	4.6	28 
1990	4	6.1	51 
1990	5	12.1	12 
1990	6	14.8	85 
1990	7	16	79 
1990	8	15.3	109 
1990	9	9.7	44 
1990	10	5.6	94 
1990	11	-0.3	31 
1990	12	-0.9	76 
1991	1	-3.9	72 
1991	2	-4.7	19 
1991	3	2	63 
1991	4	4.9	29 
1991	5	10.4	2 
1991	6	11	92 
1991	7	17.5	46 
1991	8	16	51 
1991	9	10.4	65 
1991	10	5.1	56 
1991	11	2.3	121 
1991	12	1.1	19 
1992	1	0.8	26 
1992	2	-0.3	24 
1992	3	2.6	57 
1992	4	4.1	64 
1992	5	12.4	41 
1992	6	17.2	3 
1992	7	15.9	92 
1992	8	13.3	120 
1992	9	10.3	69 
1992	10	3.2	47 
1992	11	-0.3	112 
1992	12	-1.2	62 
1993	1	-1	63 
1993	2	-0.4	18 
1993	3	0.8	7 
1993	4	5.4	23 
1993	5	12.3	41 
1993	6	13	18 
1993	7	14.7	65 
1993	8	12.5	91 
1993	9	8.5	24 
1993	10	4.5	95 
1993	11	-1.3	91 
1993	12	-4.1	77 
1994	1	-4.5	85 
1994	2	-7.9	18 
1994	3	-0.1	48 
1994	4	5.5	63 
1994	5	10.3	22 
1994	6	12.9	55 
1994	7	19.3	19 
1994	8	15.4	147 
1994	9	10.1	104 
1994	10	5.2	50 
1994	11	3.2	52 
1994	12	0.5	70 
1995	1	-2	135 
1995	2	-0.2	63 
1995	3	1.2	64 
1995	4	4.2	32 
1995	5	8.7	44 
1995	6	14.7	123 
1995	7	16.2	40 
1995	8	17.7	8 
1995	9	11.3	145 
1995	10	9	45 
1995	11	1.1	17 
1995	12	-5.9	9 
1996	1	-5.1	58 
1996	2	-6.9	30 
1996	3	-1.6	3 
1996	4	4.7	14 
1996	5	8	84 
1996	6	14.2	32 
1996	7	15	45 
1996	8	16.6	112 
1996	9	10.1	83 
1996	10	7.7	75 
1996	11	0.3	62 
1996	12	-5	49 
1997	1	-4.7	11 
1997	2	0	73 
1997	3	2	22 
1997	4	4.6	8 
1997	5	8.9	55 
1997	6	15.8	94 
1997	7	18.5	59 
1997	8	19.8	65 
1997	9	12.5	71 
1997	10	4.8	56 
1997	11	1.6	94 
1997	12	-1.4	63 
1998	1	-1.7	75 
1998	2	1.3	19 
1998	3	1	35 
1998	4	4.1	104 
1998	5	11.6	20 
1998	6	13.3	122 
1998	7	15.1	85 
1998	8	14.1	60 
1998	9	12.6	102 
1998	10	5.5	102 
1998	11	-0.7	49 
1998	12	-1.3	41 
1999	1	-2.3	87 
1999	2	-2.3	44 
1999	3	0.8	102 
1999	4	6.6	42 
1999	5	9.7	31 
1999	6	13.8	131 
1999	7	17.3	33 
1999	8	15.7	50 
1999	9	14	107 
1999	10	6.6	57 
1999	11	4.2	29 
1999	12	-2.2	69 
2000	1	0.3	30 
2000	2	-0.2	31 
2000	3	1.9	29 
2000	4	5.9	72 
2000	5	12.8	48 
2000	6	13.5	67 
2000	7	16.2	99 
2000	8	15.1	124 
2000	9	11.2	78 
2000	10	9.4	195 
2000	11	5.2	319 
2000	12	1	86 
2001	1	-3.9	113 
2001	2	-5.1	27 
2001	3	-1.9	25 
2001	4	4	103 
2001	5	11.9	47 
2001	6	14.3	52 
2001	7	17.7	97 
2001	8	15.7	106 
2001	9	11.8	90 
2001	10	9.2	156 
2001	11	2.2	49 
2001	12	-3.5	54 
2002	1	-2.9	67 
2002	2	0.1	52 
2002	3	2.1	31 
2002	4	6.8	55 
2002	5	12	109 
2002	6	15.7	53 
2002	7	16.9	84 
2002	8	19.1	60 
2002	9	13.3	63 
2002	10	4.2	92 
2002	11	-1.1	66 
2002	12	-5.5	50 
2003	1	-3.7	39 
2003	2	-3.6	37 
2003	3	2	46 
2003	4	6	45 
2003	5	9.5	108 
2003	6	15.9	77 
2003	7	18.3	141 
2003	8	17.1	38 
2003	9	12.6	64 
