Gridded monthly values for the period 1.1967 - 10.2014

UTM coordinates: 601091 E, 7595061 N

Elevation of grid point: 1 meters above sea level

Real elevation: NA meters above sea level

Elements:	Mean temperature in *C (TAM)
		Accumulated precipitation in mm (RR)


Year	Month	TAM	RR 
1967	1	-6.2	94 
1967	2	-3.9	52 
1967	3	0.3	78 
1967	4	0.8	48 
1967	5	6.4	20 
1967	6	9.7	111 
1967	7	11.5	144 
1967	8	12.3	88 
1967	9	10	66 
1967	10	3.2	79 
1967	11	3.4	66 
1967	12	-5.7	55 
1968	1	-8.6	40 
1968	2	-4.8	107 
1968	3	-2.5	70 
1968	4	0.8	84 
1968	5	3.7	40 
1968	6	9.8	104 
1968	7	10.8	82 
1968	8	9.8	112 
1968	9	7.1	26 
1968	10	-0.7	73 
1968	11	0.2	81 
1968	12	0.8	118 
1969	1	-5.2	15 
1969	2	-7	10 
1969	3	-3.3	82 
1969	4	0.3	58 
1969	5	5.1	15 
1969	6	12	56 
1969	7	14	80 
1969	8	14.9	63 
1969	9	7.8	118 
1969	10	4.9	226 
1969	11	-0.9	35 
1969	12	-2.8	65 
1970	1	-4.7	25 
1970	2	-7.6	51 
1970	3	-1.6	10 
1970	4	-0.4	21 
1970	5	6.8	23 
1970	6	12.1	47 
1970	7	14	72 
1970	8	12.9	74 
1970	9	7.8	76 
1970	10	4.9	87 
1970	11	-2	73 
1970	12	-1.1	97 
1971	1	-3.3	112 
1971	2	-5.1	53 
1971	3	-6.2	45 
1971	4	0	23 
1971	5	4.9	54 
1971	6	12.3	33 
1971	7	11.5	124 
1971	8	12.4	185 
1971	9	7	100 
1971	10	3.4	188 
1971	11	-2.6	103 
1971	12	-0.3	77 
1972	1	-1.9	19 
1972	2	-3.4	54 
1972	3	-1.7	85 
1972	4	1.2	43 
1972	5	6.6	19 
1972	6	14.2	43 
1972	7	15.6	134 
1972	8	12.6	92 
1972	9	7	193 
1972	10	4.6	142 
1972	11	0	93 
1972	12	1.9	113 
1973	1	-1	113 
1973	2	-3.2	69 
1973	3	-1.1	116 
1973	4	0.4	76 
1973	5	5.8	30 
1973	6	11.1	66 
1973	7	15.5	51 
1973	8	10.2	158 
1973	9	5.9	42 
1973	10	0.5	117 
1973	11	-2.8	85 
1973	12	-5.7	100 
1974	1	-1	77 
1974	2	-2.6	52 
1974	3	-0.5	16 
1974	4	2	109 
1974	5	7	23 
1974	6	12.4	23 
1974	7	13.9	84 
1974	8	12.4	103 
1974	9	9.4	107 
1974	10	3.4	23 
1974	11	-0.3	10 
1974	12	-1.1	46 
1975	1	-3.5	101 
1975	2	-0.2	145 
1975	3	-0.2	48 
1975	4	0.5	34 
1975	5	6	77 
1975	6	7.6	125 
1975	7	10.5	88 
1975	8	10.6	106 
1975	9	8.2	155 
1975	10	4.8	219 
1975	11	1.4	104 
1975	12	-2.6	216 
1976	1	-6.1	52 
1976	2	-0.8	80 
1976	3	-2.4	36 
1976	4	0.5	59 
1976	5	7.8	38 
1976	6	10	36 
1976	7	12.5	71 
1976	8	11.1	78 
1976	9	5	88 
1976	10	2.8	28 
1976	11	-0.7	147 
1976	12	-3.8	19 
1977	1	-4.7	42 
1977	2	-4.9	27 
1977	3	-1.5	92 
1977	4	-0.9	19 
1977	5	4.2	41 
1977	6	8.3	85 
1977	7	13	73 
1977	8	12	107 
1977	9	6.8	80 
1977	10	4.1	122 
1977	11	1	44 
1977	12	-0.7	78 
1978	1	-5.3	71 
1978	2	-6.6	70 
1978	3	-3.3	35 
1978	4	0.4	39 
1978	5	6.5	43 
1978	6	11.9	32 
1978	7	15.2	28 
1978	8	12.1	60 
1978	9	7	51 
1978	10	2.1	137 
1978	11	0.9	157 
1978	12	-6.2	55 
1979	1	-5.6	20 
1979	2	-4.4	81 
1979	3	-2	19 
1979	4	1.2	28 
1979	5	5.5	86 
1979	6	10.5	92 
1979	7	14.9	25 
1979	8	12.7	81 
1979	9	7.7	96 
1979	10	2.8	89 
1979	11	0.4	46 
1979	12	-1.3	65 
1980	1	-4.4	89 
1980	2	-4.8	51 
1980	3	-2.7	16 
1980	4	2.7	41 
1980	5	6.2	37 
1980	6	13.2	57 
1980	7	15.5	16 
1980	8	14	53 
1980	9	8.3	108 
1980	10	2.9	42 
1980	11	-2.1	75 
1980	12	-4.4	71 
1981	1	-4.5	162 
1981	2	-3.9	41 
1981	3	-6.6	46 
1981	4	1.2	83 
1981	5	7.5	45 
1981	6	7.2	60 
1981	7	12.1	119 
1981	8	11	162 
1981	9	7.7	59 
1981	10	3.8	83 
1981	11	-1.2	25 
1981	12	-5.9	41 
1982	1	-5.2	118 
1982	2	-0.8	75 
1982	3	-0.8	65 
1982	4	1.2	92 
1982	5	5.4	66 
1982	6	7.1	63 
1982	7	12.5	103 
1982	8	11.9	67 
1982	9	6.7	191 
1982	10	4.7	83 
1982	11	1.1	78 
1982	12	-0.7	88 
1983	1	-1.7	81 
1983	2	-2.5	95 
1983	3	-2.2	54 
1983	4	3.3	11 
1983	5	8.6	38 
1983	6	9.4	85 
1983	7	12.1	139 
1983	8	9.5	194 
1983	9	9.5	60 
1983	10	3	104 
1983	11	-2.2	178 
1983	12	-3.9	159 
1984	1	-4.3	53 
1984	2	-0.4	61 
1984	3	-2.8	42 
1984	4	2.7	45 
1984	5	8.9	55 
1984	6	11.5	54 
1984	7	10.7	143 
1984	8	11.5	117 
1984	9	7.6	33 
1984	10	4.4	30 
1984	11	0	32 
1984	12	0.8	30 
1985	1	-5	96 
1985	2	-8.7	32 
1985	3	-1.3	23 
1985	4	-0.8	55 
1985	5	5.1	31 
1985	6	11.1	49 
1985	7	14.8	87 
1985	8	13.4	106 
1985	9	7.4	138 
1985	10	4.9	250 
1985	11	-0.4	53 
1985	12	-5.5	70 
1986	1	-6.1	18 
1986	2	-3.8	88 
1986	3	0.4	83 
1986	4	0.4	67 
1986	5	8.3	70 
1986	6	11.6	93 
1986	7	12.8	75 
1986	8	11.7	27 
1986	9	5.8	60 
1986	10	5	156 
1986	11	2.2	56 
1986	12	-5.9	39 
1987	1	-6.4	71 
1987	2	-5.7	87 
1987	3	-4.4	6 
1987	4	1.3	46 
1987	5	5.4	51 
1987	6	11	25 
1987	7	11.9	55 
1987	8	10.2	66 
1987	9	8	41 
1987	10	8.7	73 
1987	11	-0.2	86 
1987	12	-3.4	160 
1988	1	-2.9	32 
1988	2	-4.9	2 
1988	3	-4.1	10 
1988	4	-1.1	104 
1988	5	6.2	31 
1988	6	10.3	30 
1988	7	15.3	75 
1988	8	12.6	46 
1988	9	9.2	148 
1988	10	3.8	168 
1988	11	-0.9	166 
1988	12	-2.8	105 
1989	1	-0.2	192 
1989	2	-1.7	141 
1989	3	0.7	29 
1989	4	4.2	31 
1989	5	6.1	150 
1989	6	10.7	38 
1989	7	11.1	83 
1989	8	13.4	51 
1989	9	8.7	186 
1989	10	3.7	94 
1989	11	2	80 
1989	12	-2.9	120 
1990	1	-2.8	52 
1990	2	1.4	136 
1990	3	-0.1	92 
1990	4	3.4	49 
1990	5	5.2	63 
1990	6	12.5	50 
1990	7	14.3	79 
1990	8	13.5	106 
1990	9	9.5	30 
1990	10	6.3	88 
1990	11	-0.3	76 
1990	12	2.2	134 
1991	1	-0.8	141 
1991	2	-4.4	19 
1991	3	-1.7	65 
1991	4	2.7	28 
1991	5	5.3	54 
1991	6	11.9	29 
1991	7	13.3	98 
1991	8	13.1	73 
1991	9	6.8	132 
1991	10	5	122 
1991	11	1.3	150 
1991	12	0.9	199 
1992	1	-0.6	175 
1992	2	-1	107 
1992	3	0.3	147 
1992	4	0.3	23 
1992	5	7.2	123 
1992	6	12.7	59 
1992	7	12	183 
1992	8	11.8	68 
1992	9	9.7	50 
1992	10	0.1	96 
1992	11	-1.4	20 
1992	12	1.3	250 
1993	1	-0.5	96 
1993	2	-0.8	176 
1993	3	-1.3	208 
1993	4	0.9	33 
