Gridded monthly values for the period 1.1967 - 10.2014

UTM coordinates: -34980 E, 6547733 N

Elevation of grid point: 160 meters above sea level

Real elevation: NA meters above sea level

Elements:	Mean temperature in *C (TAM)
		Accumulated precipitation in mm (RR)


Year	Month	TAM	RR 
1967	1	-0.7	127 
1967	2	1.5	166 
1967	3	2.7	333 
1967	4	3	190 
1967	5	7	185 
1967	6	9.7	180 
1967	7	12.7	139 
1967	8	12.7	277 
1967	9	10.7	242 
1967	10	7.9	423 
1967	11	5.7	273 
1967	12	1.1	304 
1968	1	-1.7	194 
1968	2	-1.4	105 
1968	3	1.6	282 
1968	4	3.8	92 
1968	5	6.7	72 
1968	6	11.8	124 
1968	7	12.2	38 
1968	8	11.7	17 
1968	9	11.5	235 
1968	10	6.9	261 
1968	11	1.6	147 
1968	12	-0.1	115 
1969	1	1.5	180 
1969	2	-5.5	102 
1969	3	-2.5	96 
1969	4	3.6	109 
1969	5	7.2	49 
1969	6	11.6	74 
1969	7	12.3	164 
1969	8	15.3	78 
1969	9	10.3	254 
1969	10	8	148 
1969	11	2.2	271 
1969	12	-0.8	71 
1970	1	-2.3	47 
1970	2	-5.1	58 
1970	3	-1.2	185 
1970	4	1.1	79 
1970	5	8	62 
1970	6	12.2	77 
1970	7	11.6	318 
1970	8	13.2	81 
1970	9	9.4	250 
1970	10	7.1	297 
1970	11	3.3	256 
1970	12	2	135 
1971	1	1.6	117 
1971	2	1.8	165 
1971	3	-0.4	109 
1971	4	3.4	75 
1971	5	7.9	121 
1971	6	10.1	74 
1971	7	11.9	107 
1971	8	12.6	136 
1971	9	9.7	150 
1971	10	7	274 
1971	11	3	327 
1971	12	4.6	252 
1972	1	-1.7	102 
1972	2	-0.4	28 
1972	3	1.5	92 
1972	4	3.4	175 
1972	5	8.7	76 
1972	6	10.1	211 
1972	7	12.9	155 
1972	8	11.5	233 
1972	9	8.2	111 
1972	10	6.7	107 
1972	11	3.9	252 
1972	12	4.8	220 
1973	1	2.7	121 
1973	2	0.8	183 
1973	3	3.2	138 
1973	4	2.7	136 
1973	5	7.2	136 
1973	6	10.5	82 
1973	7	13.8	94 
1973	8	11.5	117 
1973	9	9.5	150 
1973	10	4.3	155 
1973	11	2.5	337 
1973	12	1	261 
1974	1	3.3	224 
1974	2	2.6	166 
1974	3	1.5	41 
1974	4	4.1	6 
1974	5	8.2	52 
1974	6	11.3	102 
1974	7	10.9	225 
1974	8	12.1	79 
1974	9	10.8	468 
1974	10	5.1	121 
1974	11	3.6	208 
1974	12	4	298 
1975	1	3.9	388 
1975	2	1.2	59 
1975	3	0.6	68 
1975	4	2.7	78 
1975	5	7.6	77 
1975	6	9.6	70 
1975	7	12.6	93 
1975	8	15.4	92 
1975	9	10.6	361 
1975	10	6.9	135 
1975	11	4.7	191 
1975	12	4.1	259 
1976	1	0.2	230 
1976	2	-0.3	121 
1976	3	-1.7	64 
1976	4	3.1	125 
1976	5	8	139 
1976	6	11.1	75 
1976	7	13.8	132 
1976	8	12.4	18 
1976	9	8.5	72 
1976	10	7.1	210 
1976	11	3.9	185 
1976	12	-1.7	108 
1977	1	-1	130 
1977	2	-1.6	107 
1977	3	2.1	146 
1977	4	1.5	153 
1977	5	7.2	39 
1977	6	9.5	61 
1977	7	10.8	115 
1977	8	12.2	127 
1977	9	8.9	370 
1977	10	8.3	192 
1977	11	2.9	355 
1977	12	2.8	189 
1978	1	1.2	139 
1978	2	-3.4	55 
1978	3	0.4	147 
1978	4	2.6	64 
1978	5	8.2	108 
1978	6	11.6	87 
1978	7	11.7	236 
1978	8	13	160 
1978	9	8.8	231 
1978	10	7.8	227 
1978	11	5.9	256 
1978	12	-1.2	7 
1979	1	-4.5	82 
1979	2	-3.9	107 
1979	3	0.3	216 
1979	4	3	71 
1979	5	5.3	154 
1979	6	10.8	171 
1979	7	10.1	81 
1979	8	11.8	296 
1979	9	9.7	264 
1979	10	6.8	113 
1979	11	3.4	313 
1979	12	0.9	189 
1980	1	-1.9	28 
1980	2	-2.4	61 
1980	3	-0.7	37 
1980	4	3.5	46 
1980	5	7.5	15 
1980	6	12	175 
1980	7	13.5	87 
1980	8	12.9	169 
1980	9	11.2	230 
1980	10	5.4	369 
1980	11	2	146 
1980	12	2.3	338 
1981	1	-0.7	214 
1981	2	-0.5	156 
1981	3	-0.2	155 
1981	4	2.4	31 
1981	5	9.6	102 
1981	6	9.8	109 
1981	7	12.2	214 
1981	8	11.6	107 
